# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logistic_model
# start_datetime = 2025-05-10 18:46:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 0
# random
#   seed = 17271
# output
#   file = /home/daniel-hartman/Documents/OPEN_projects/Bayes_LC50/runfiles/logistic-20250510144606.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logistic.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.380237
# Diagonal elements of inverse mass matrix:
# 0.000252283, 0.412938, 1.27493e-05, 1.37146e-05, 1.33848e-05, 4.1085e-05
-1047.59,0.783657,0.380237,4,15,0,1052.74,0.0325064,0.0358948,0.0046029,0.022919,0.0239261,0.0550869
-1044.98,0.824745,0.380237,3,7,0,1051.34,0.0330259,0.0176149,0.00504004,0.0254136,0.0194199,0.0346297
-1045.15,1,0.380237,2,3,0,1047.44,0.0195057,0.00878608,0.00601282,0.0257128,0.0276202,0.0314524
-1043.15,0.935543,0.380237,2,3,0,1046.38,0.025336,0.0123212,0.00522253,0.0237097,0.0205261,0.0280158
-1043.38,0.304619,0.380237,2,7,0,1047.86,0.0155384,0.019968,0.00292571,0.023696,0.02217,0.0293513
-1042.89,0.990684,0.380237,3,7,0,1045.22,0.0266916,0.0209631,0.00578206,0.0248566,0.0221704,0.0403124
-1043.68,0.909946,0.380237,2,3,0,1044.51,0.0199636,0.0279125,0.00359217,0.0243968,0.0244268,0.0392906
-1043.71,0.928227,0.380237,3,7,0,1045.92,0.0356874,0.0211595,0.00580384,0.0227282,0.0225405,0.0302091
-1045.38,0.720754,0.380237,3,7,0,1048.16,0.0276638,0.00978682,0.00168952,0.0239804,0.0232232,0.0309554
-1041.91,0.99947,0.380237,2,7,0,1046.88,0.0219657,0.00957065,0.00524889,0.0244932,0.0212407,0.0329586
-1043.83,0.357993,0.380237,2,3,0,1045.25,0.0111022,0.0103557,0.00641055,0.0248786,0.0228474,0.0340311
-1044.12,0.869345,0.380237,2,7,0,1048.87,0.0216345,0.015242,0.00716138,0.0234997,0.020201,0.0379842
-1044.46,0.841321,0.380237,3,15,0,1046.84,0.0267458,0.0236899,0.0060184,0.0227876,0.0201822,0.0376726
-1043.98,0.780762,0.380237,3,7,0,1048.85,0.0156606,0.0139832,0.00563797,0.0265183,0.0259547,0.0283505
-1048.16,0.863403,0.380237,2,7,0,1051.77,-0.00320102,0.0309561,0.0081137,0.0248546,0.0202569,0.0269507
-1042.01,0.420906,0.380237,3,7,0,1050.82,0.0164759,0.0104228,0.00533597,0.0223617,0.0228367,0.0303488
-1043.34,0.676,0.380237,3,7,0,1044.39,0.0256817,0.0193385,0.00336573,0.0247934,0.0217514,0.0285908
-1046.11,0.80259,0.380237,3,7,0,1047.78,0.000126934,0.0197268,0.00781872,0.0229352,0.022904,0.0349871
-1045.43,0.950266,0.380237,3,7,0,1048.84,0.029489,0.0354381,0.00801141,0.0231465,0.022081,0.0344104
-1043.23,0.980227,0.380237,3,7,0,1045.96,0.00963837,0.0153286,0.00665906,0.0252171,0.0224624,0.0316687
-1046.98,0.889616,0.380237,3,7,0,1047.68,0.00730978,0.0252114,0.00614254,0.0295952,0.0227487,0.0354397
-1044.1,1,0.380237,3,7,0,1048.16,0.0149602,0.0222211,0.00370424,0.0224958,0.0234676,0.0417983
-1044.38,0.596783,0.380237,2,3,0,1050.82,0.024046,0.0104337,0.00566517,0.023521,0.0251877,0.043509
-1043.51,0.975134,0.380237,3,7,0,1046.09,0.0271451,0.0245666,0.00428041,0.0251813,0.0213335,0.0392773
-1045.72,0.58382,0.380237,2,3,0,1049.48,0.0234072,0.029184,0.00518992,0.0285831,0.0244134,0.039823
-1045.62,0.998643,0.380237,3,7,0,1046.36,0.0239712,0.0297839,0.00513149,0.0284963,0.0248059,0.037977
-1046.29,0.90657,0.380237,3,7,0,1049.03,0.0374734,0.0275045,0.00370401,0.0217237,0.0208083,0.0420194
-1046.87,0.92708,0.380237,3,7,0,1049.83,0.036697,0.0221849,0.00632551,0.026906,0.0273476,0.039157
-1047.89,0.880251,0.380237,2,7,0,1051.75,0.0404529,0.0240186,0.00349329,0.0270737,0.0191115,0.0314818
-1044.6,0.966489,0.380237,3,7,0,1049.99,0.0171046,0.0327764,0.0071679,0.0238827,0.0251585,0.0348378
-1044.05,0.953314,0.380237,3,7,0,1048.01,0.00769882,0.0160217,0.00376566,0.0247628,0.0211853,0.0279072
-1046.52,0.667067,0.380237,3,7,0,1049.41,0.00445501,0.0642633,0.0069802,0.0239471,0.0250612,0.0310073
-1046.53,0.949955,0.380237,3,7,0,1048.45,-0.00225918,0.0240363,0.00229469,0.0260061,0.0215196,0.0302289
-1048.04,0.939205,0.380237,3,7,0,1050.65,0.0369103,0.014759,0.00764395,0.0204345,0.0255083,0.0380966
-1045.5,0.932349,0.380237,3,7,0,1052.51,0.0232956,0.0625152,0.00354336,0.0238059,0.0219885,0.0361136
-1044.35,0.929567,0.380237,3,7,0,1047.79,0.0297286,0.0469405,0.00553521,0.0240352,0.0231146,0.0389964
-1047.6,0.807414,0.380237,3,7,0,1049.19,0.0471211,0.0780405,0.00337661,0.0250857,0.0243758,0.0446871
-1047.69,0.98163,0.380237,3,7,0,1050.04,0.0498444,0.0331135,0.00613889,0.0238949,0.022008,0.0232936
-1049.85,0.890141,0.380237,3,7,0,1050.92,0.0482983,0.0397145,0.00830364,0.0227141,0.0227548,0.0228768
-1044.65,0.981604,0.380237,3,7,0,1051.78,0.0362304,0.0336039,0.00523391,0.0242297,0.0219363,0.0437133
-1046.52,0.716826,0.380237,2,3,0,1047.53,0.0296248,0.0309415,0.00836873,0.0227444,0.0239074,0.0428911
-1046.43,0.880541,0.380237,2,3,0,1049.46,0.0243566,0.0378197,0.00770934,0.0242244,0.0252261,0.0432157
-1044.48,1,0.380237,2,3,0,1046.86,0.0250461,0.0219712,0.00315945,0.0242012,0.0220443,0.0445531
-1042.31,0.998006,0.380237,3,7,0,1045.41,0.021251,0.0164989,0.00460583,0.0244374,0.0251126,0.0359045
-1043.48,0.839413,0.380237,3,7,0,1045.71,0.0265237,0.011961,0.00323234,0.023541,0.0239055,0.0396748
-1046.3,0.72126,0.380237,3,7,0,1047.14,0.0170661,0.0244909,0.00257554,0.0228422,0.026183,0.026644
-1050.09,0.780903,0.380237,2,7,0,1052.54,0.012018,0.0265314,0.00869956,0.0272608,0.0276232,0.0285255
-1045.9,1,0.380237,2,7,0,1051.45,0.0102323,0.0272268,0.00324036,0.0248284,0.0244371,0.0237144
-1046.29,0.980738,0.380237,3,7,0,1049.37,0.0223467,0.0264485,0.00459452,0.0263346,0.0237365,0.0220219
-1043.07,0.944342,0.380237,2,3,0,1048.18,0.0217036,0.0283404,0.00555217,0.025259,0.0221992,0.0306662
-1043.17,0.516297,0.380237,2,3,0,1047.85,0.01662,0.0152911,0.00751095,0.025426,0.0218899,0.033748
-1043.52,0.906103,0.380237,3,7,0,1045.39,0.0299177,0.0175064,0.00307815,0.0232685,0.0221464,0.0308542
-1044.97,0.880893,0.380237,3,7,0,1045.7,0.00727998,0.0143323,0.00793494,0.0244399,0.0231378,0.0289604
-1044.97,0.000677066,0.380237,2,3,0,1053.09,0.00727998,0.0143323,0.00793494,0.0244399,0.0231378,0.0289604
-1045,0.986858,0.380237,3,7,0,1047.59,0.0329494,0.012253,0.00344801,0.0257444,0.0210504,0.0310522
-1046.47,0.929706,0.380237,3,7,0,1049.18,0.00521047,0.0301495,0.00783836,0.0231868,0.0253374,0.0279665
-1045.82,0.995172,0.380237,3,7,0,1049.1,0.0128859,0.0692708,0.00403249,0.025913,0.0222109,0.036492
